"ACT","SAT","Grad","GradGPA","HSGPA","Cohort"
24,NA,TRUE,2.618,3.438,2001
27,NA,TRUE,2.936,3.429,2001
31,NA,FALSE,NA,3.727,2001
22,NA,TRUE,3.61,3.22,2001
26,1120,TRUE,3.374,3.666,2001
24,NA,TRUE,2.156,3.174,2001
NA,850,TRUE,2.678,3.09,2001
NA,1170,TRUE,3.543,3.455,2001
24,NA,FALSE,NA,3.673,2001
27,NA,TRUE,3.57,3.975,2001
28,1150,TRUE,3.522,3.706,2001
20,NA,FALSE,NA,2.435,2001
22,NA,FALSE,NA,2.67,2001
27,NA,TRUE,3.582,3.828,2001
21,NA,FALSE,NA,3.708,2001
32,NA,TRUE,3.91,3.987,2001
31,NA,TRUE,2.947,3.21,2001
29,1250,FALSE,NA,3.632,2001
NA,1040,TRUE,2.537,2.544,2001
32,1390,TRUE,3.919,4,2001
27,NA,TRUE,3.162,3.086,2001
24,NA,TRUE,3.282,3.43,2001
30,1370,TRUE,3.962,4.045,2001
30,1370,TRUE,3.549,3.937,2001
34,1510,TRUE,3.815,4.348,2001
29,1300,TRUE,3.852,3.964,2001
16,NA,TRUE,3.09,NA,2001
29,1200,TRUE,3.683,3.895,2001
29,1190,FALSE,NA,3.609,2001
NA,1170,TRUE,3.367,3.451,2001
NA,1240,TRUE,3.505,3.79,2001
NA,1130,FALSE,NA,3.59,2001
28,NA,TRUE,3.125,3.398,2001
NA,1420,TRUE,3.682,4.23,2001
32,NA,TRUE,3.614,3.894,2001
25,NA,FALSE,NA,3.624,2001
34,1480,TRUE,3.811,4.175,2001
26,1090,TRUE,3.238,3.235,2001
NA,1150,FALSE,NA,3.17,2001
NA,1180,TRUE,2.774,3.115,2001
NA,1220,FALSE,NA,2.82,2001
28,NA,TRUE,3.134,3.739,2001
20,NA,FALSE,NA,2.723,2001
27,NA,FALSE,NA,3.89,2001
NA,1230,TRUE,3.257,3.91,2001
20,NA,FALSE,NA,2.297,2001
27,NA,TRUE,3.13,3.923,2001
30,NA,TRUE,3.901,4,2001
28,1140,TRUE,3.162,3.293,2001
24,NA,FALSE,NA,3.812,2001
27,NA,TRUE,3.281,4.007,2001
28,NA,TRUE,2.648,3.49,2001
32,NA,TRUE,3.454,3.317,2001
25,NA,FALSE,NA,3.154,2001
27,1370,TRUE,3.895,4.128,2001
30,1340,TRUE,3.947,3.881,2001
28,1200,TRUE,3.599,4.103,2001
26,1130,TRUE,3.698,4.029,2001
27,NA,FALSE,NA,3.688,2001
23,NA,TRUE,2.74,3.13,2001
23,1050,TRUE,3.245,3.58,2001
NA,1090,TRUE,3.439,3.147,2001
NA,1200,TRUE,3.021,3.197,2001
26,NA,TRUE,2.682,3.285,2001
28,NA,TRUE,3.572,3.819,2001
22,NA,TRUE,3.675,3.848,2001
21,NA,TRUE,2.977,3.103,2001
30,1300,TRUE,3.519,4.018,2001
25,1220,TRUE,3.092,3.094,2001
NA,1580,TRUE,3.796,4,2001
27,NA,FALSE,NA,3.644,2001
31,1390,FALSE,NA,3.7,2001
27,NA,TRUE,2.765,3.266,2001
27,NA,TRUE,3.226,3.57,2001
17,820,TRUE,2.141,2.981,2001
20,NA,TRUE,2.836,2.813,2001
30,1400,TRUE,3.533,4.19,2001
32,1450,TRUE,2.837,3.688,2001
26,1250,TRUE,2.953,3.731,2001
NA,1310,TRUE,3.34,3.882,2001
27,NA,TRUE,3.739,3.802,2001
25,NA,FALSE,NA,3.872,2001
28,NA,TRUE,3.711,3.722,2001
NA,1130,TRUE,3.566,NA,2001
NA,920,FALSE,NA,2.69,2001
20,NA,TRUE,2.712,3.457,2001
26,NA,TRUE,2.989,3.678,2001
26,NA,FALSE,NA,3.013,2001
21,NA,TRUE,2.381,2.657,2001
27,NA,TRUE,3.383,3.706,2001
31,NA,FALSE,NA,3.838,2001
30,NA,TRUE,3.915,4,2001
33,NA,TRUE,2.981,3.327,2001
24,NA,FALSE,NA,3.33,2001
NA,1000,TRUE,3.519,3.124,2001
24,NA,FALSE,NA,2.966,2001
27,NA,TRUE,3.467,3.629,2001
NA,730,TRUE,3.36,2.621,2001
28,NA,TRUE,3.658,4,2001
32,1410,TRUE,3.83,3.93,2001
24,NA,TRUE,3.415,3.209,2001
19,NA,TRUE,2.434,3.568,2001
24,NA,TRUE,3.268,3.217,2001
27,1210,TRUE,3.593,3.937,2001
31,NA,TRUE,3.829,4.119,2001
26,NA,FALSE,NA,3.468,2001
29,NA,TRUE,3.121,3.75,2001
23,NA,TRUE,3.428,3.122,2001
20,NA,TRUE,3.114,3.339,2001
NA,1160,TRUE,3.189,3.358,2001
32,NA,FALSE,NA,2.366,2001
18,NA,TRUE,2.235,2.4,2001
24,NA,FALSE,NA,3.1,2001
20,NA,TRUE,3.387,3.029,2001
31,NA,TRUE,3.926,4.081,2001
28,NA,TRUE,3.151,3.645,2001
30,1460,TRUE,3.982,3.968,2001
29,NA,TRUE,3.851,3.874,2001
17,NA,FALSE,NA,2.674,2001
22,NA,FALSE,NA,3.205,2001
26,NA,TRUE,3.439,3.35,2001
32,1360,TRUE,3.829,3.987,2001
24,NA,TRUE,3.441,3.797,2001
27,NA,TRUE,3.846,3.86,2001
23,NA,TRUE,3.119,3.34,2001
23,NA,TRUE,2.277,3.28,2001
30,NA,TRUE,3.82,3.836,2001
20,NA,TRUE,3.16,3.187,2001
25,NA,FALSE,NA,4.184,2001
29,1310,TRUE,3.92,4.099,2001
35,1540,FALSE,NA,3.82,2001
26,NA,TRUE,3.081,3.35,2001
32,NA,TRUE,3.662,3.9,2001
27,NA,FALSE,NA,3.13,2001
27,NA,TRUE,3.542,4.17,2001
23,NA,TRUE,3.101,3.423,2001
NA,1300,FALSE,NA,4.107,2001
24,NA,TRUE,3.346,3.413,2001
22,NA,FALSE,NA,3.845,2001
32,NA,TRUE,3.825,4.18,2001
29,NA,TRUE,3.586,3.971,2001
20,NA,TRUE,2.739,2.692,2001
17,NA,FALSE,NA,2.833,2001
NA,800,FALSE,NA,3.569,2001
27,NA,TRUE,3.452,3.702,2001
25,NA,TRUE,3.426,2.91,2001
28,NA,TRUE,3.504,4.063,2001
27,1200,TRUE,3.017,3.204,2001
19,NA,TRUE,3.276,3.53,2001
NA,1090,TRUE,3.524,3.477,2001
33,1430,TRUE,3.897,3.993,2001
21,NA,TRUE,3.076,3.16,2001
23,NA,TRUE,2.969,3.13,2001
24,NA,TRUE,3.285,3.207,2001
NA,1150,TRUE,3.035,3.766,2001
30,1290,FALSE,NA,3.976,2001
23,1180,TRUE,3.373,3.967,2001
25,NA,TRUE,3.545,3.704,2001
31,1340,TRUE,3.934,3.512,2001
NA,1190,TRUE,3.599,3.137,2001
28,NA,TRUE,2.645,4.553,2001
28,NA,TRUE,3.416,3.97,2001
27,NA,TRUE,3.864,3.959,2001
30,NA,TRUE,2.903,3.833,2001
NA,1110,FALSE,NA,3.95,2001
28,NA,TRUE,2.593,3.19,2001
23,NA,TRUE,3.108,2.887,2001
25,NA,FALSE,NA,3.6,2001
NA,1030,TRUE,3.688,3.149,2001
26,NA,TRUE,3.435,3.479,2001
NA,910,TRUE,3.502,3.97,2001
NA,1220,TRUE,2.383,3.061,2001
33,1420,TRUE,3.957,3.982,2001
28,NA,FALSE,NA,3.199,2001
26,NA,TRUE,3.552,3.664,2001
NA,1020,TRUE,2.78,2.91,2001
NA,1230,TRUE,3.232,3.718,2001
35,1480,TRUE,3.912,4,2001
22,NA,TRUE,2.737,3.415,2001
22,NA,FALSE,NA,3.49,2001
18,890,TRUE,2.875,3.779,2001
NA,1010,TRUE,3.481,3.86,2001
24,NA,TRUE,3.064,3.54,2001
19,NA,FALSE,NA,2.618,2001
NA,1150,TRUE,3.066,3.603,2001
26,NA,FALSE,NA,2.861,2001
26,1180,FALSE,NA,3.236,2001
18,820,FALSE,NA,2.45,2001
23,NA,TRUE,3.687,3.595,2001
26,NA,FALSE,NA,3.692,2001
26,NA,TRUE,3.718,3.629,2001
19,NA,TRUE,2.964,3.639,2001
20,NA,TRUE,2.75,3.589,2001
33,1300,TRUE,2.761,3.4,2001
27,NA,TRUE,3.569,4,2001
28,NA,TRUE,3.763,3.881,2001
NA,1200,FALSE,NA,3.63,2001
22,1050,TRUE,2.004,2.76,2001
24,NA,TRUE,3.145,3.55,2001
22,NA,TRUE,2.232,2.746,2001
34,1500,TRUE,3.915,4.21,2001
23,NA,TRUE,3.049,3.39,2001
34,1450,TRUE,3.853,3.95,2001
23,NA,FALSE,NA,2.49,2001
22,NA,TRUE,3.361,3.67,2001
24,NA,FALSE,NA,3.286,2001
29,NA,TRUE,3.527,3.641,2001
25,NA,TRUE,3.178,2.59,2001
16,NA,FALSE,NA,2.752,2001
18,970,FALSE,NA,2.347,2001
24,NA,TRUE,3.434,3.763,2001
28,NA,FALSE,NA,4,2001
23,NA,TRUE,2.63,3.715,2001
31,NA,FALSE,NA,3.557,2001
25,1190,TRUE,3.466,3.451,2001
27,NA,TRUE,3.055,3.885,2001
28,NA,TRUE,3.892,3.949,2001
28,NA,TRUE,3.901,3.929,2001
NA,1260,TRUE,3.58,4.114,2001
32,NA,TRUE,3.714,3.75,2001
27,1190,TRUE,3.638,3.915,2001
NA,980,TRUE,2.667,3.39,2001
29,NA,TRUE,3.123,2.957,2001
24,1220,TRUE,3.711,4.015,2001
26,NA,TRUE,3.426,3.605,2001
NA,1120,TRUE,3.498,3.841,2001
31,1430,TRUE,2.885,3.143,2001
20,NA,FALSE,NA,3.413,2001
24,1210,TRUE,3.915,3.967,2001
30,NA,TRUE,3.931,4.16,2001
27,NA,FALSE,NA,3.863,2001
24,NA,TRUE,3.34,4.175,2001
25,NA,FALSE,NA,3.165,2001
NA,980,FALSE,NA,2.773,2001
32,1580,TRUE,3.943,4,2001
24,NA,FALSE,NA,3.638,2001
30,NA,TRUE,2.73,3.412,2001
17,NA,FALSE,NA,2.445,2001
27,NA,TRUE,3.696,3.791,2001
32,1340,TRUE,2.791,3.469,2001
21,NA,TRUE,3.262,3.118,2001
22,NA,FALSE,NA,3.114,2001
27,NA,TRUE,3.519,4.544,2001
32,NA,TRUE,3.624,3.861,2001
21,NA,TRUE,2.854,3.381,2001
22,NA,TRUE,3.651,3.567,2001
25,NA,FALSE,NA,3.625,2001
NA,1020,TRUE,2.539,3.51,2001
NA,1160,FALSE,NA,3.381,2001
27,NA,TRUE,2.756,3.227,2001
21,NA,FALSE,NA,2.898,2001
NA,930,TRUE,2.996,3.052,2001
28,NA,TRUE,2.802,3.269,2001
20,NA,TRUE,2.89,2.91,2001
NA,1240,TRUE,3.258,NA,2001
26,1250,TRUE,3.537,3.49,2001
28,1200,TRUE,3.744,4,2001
26,NA,TRUE,3.535,3.95,2001
22,NA,TRUE,3.433,3.481,2001
21,NA,FALSE,NA,3.215,2001
NA,900,FALSE,NA,3.36,2001
NA,1140,FALSE,NA,3.413,2001
22,NA,TRUE,3.298,3.944,2001
26,NA,TRUE,3.563,3.747,2001
25,NA,FALSE,NA,3.568,2001
NA,1150,TRUE,3.738,NA,2001
30,NA,TRUE,3.733,4,2001
26,NA,FALSE,NA,3.632,2001
31,1380,TRUE,2.96,3.618,2001
NA,1000,TRUE,2.98,3.622,2001
27,NA,FALSE,NA,3.636,2001
27,NA,TRUE,3.458,3.29,2001
27,NA,TRUE,3.222,3.958,2001
29,NA,TRUE,3.389,3.95,2001
NA,870,TRUE,3.002,3.463,2001
23,NA,FALSE,NA,3.058,2001
NA,850,FALSE,NA,2.63,2001
24,NA,TRUE,3.547,3.813,2001
20,NA,TRUE,3.027,3.34,2001
17,NA,FALSE,NA,2.667,2001
26,NA,TRUE,3.526,3.963,2001
25,NA,TRUE,3.477,3.598,2001
28,1260,TRUE,3.604,3.839,2001
19,NA,FALSE,NA,3.032,2001
23,NA,FALSE,NA,2.692,2001
25,NA,TRUE,3.399,3.494,2001
NA,1130,FALSE,NA,2.91,2001
NA,1110,TRUE,3.045,2.966,2001
28,NA,FALSE,NA,2.937,2001
23,NA,FALSE,NA,3.09,2001
32,1350,FALSE,NA,4.086,2001
30,1380,TRUE,2.78,3.128,2001
NA,1120,TRUE,3.396,4.18,2001
33,NA,TRUE,3.708,3.982,2001
28,1280,TRUE,3.843,3.838,2001
25,NA,TRUE,3.527,3.41,2001
28,NA,TRUE,3.297,3.701,2001
31,NA,TRUE,3.724,4,2001
25,NA,TRUE,3.438,3.434,2001
NA,1000,TRUE,3.258,NA,2001
27,1230,TRUE,3.44,3.893,2001
26,NA,TRUE,3.392,4.038,2001
27,1200,FALSE,NA,2.973,2001
24,NA,FALSE,NA,3.378,2001
24,NA,TRUE,2.596,3.534,2001
NA,1210,FALSE,NA,3.34,2001
31,1350,TRUE,3.856,4.247,2001
NA,1240,TRUE,3.136,3.46,2001
28,NA,FALSE,NA,3.098,2001
NA,1100,TRUE,3.865,3.643,2001
26,NA,TRUE,3.645,3.798,2001
25,NA,TRUE,3.682,3.768,2001
25,NA,FALSE,NA,3.17,2001
26,1260,TRUE,3.318,4.517,2001
25,1080,TRUE,2.658,3.381,2001
34,1500,TRUE,3.186,3.948,2001
24,NA,TRUE,2.992,2.452,2001
22,NA,TRUE,2.463,3.246,2001
19,920,TRUE,3.009,3.01,2001
NA,1340,TRUE,3.586,3.98,2001
18,NA,FALSE,NA,3.109,2001
26,NA,TRUE,2.568,3.681,2001
28,NA,FALSE,NA,3.85,2001
NA,1100,FALSE,NA,3.942,2001
21,NA,TRUE,2.763,3.367,2001
19,NA,TRUE,3.181,3.213,2001
NA,1450,TRUE,3.557,3.98,2001
NA,1000,FALSE,NA,2.395,2001
25,NA,TRUE,3.593,3.853,2001
25,NA,FALSE,NA,3.317,2001
32,NA,TRUE,3.465,3.773,2001
32,NA,TRUE,3.467,3.956,2001
24,NA,TRUE,3.184,3.5,2001
20,NA,FALSE,NA,3.058,2001
17,NA,FALSE,NA,2.667,2001
30,NA,FALSE,NA,3.45,2001
18,NA,TRUE,3.108,3.321,2001
30,NA,TRUE,3.505,3.91,2001
24,1120,TRUE,3.418,4,2001
27,1140,TRUE,2.594,3.502,2001
29,1280,TRUE,3.861,3.871,2001
26,1200,TRUE,3.142,3.658,2001
31,1350,TRUE,3.812,3.759,2001
26,NA,TRUE,3.3,3.373,2001
NA,1060,FALSE,NA,3.631,2001
28,1310,TRUE,3.85,4.5,2001
20,NA,TRUE,2.785,2.634,2001
NA,1090,TRUE,3.198,2.435,2001
NA,1270,TRUE,3.851,3.53,2001
26,NA,TRUE,3.123,3.475,2001
26,1100,TRUE,3.387,4,2001
32,NA,FALSE,NA,3.526,2001
NA,1150,TRUE,3.786,3.823,2001
NA,1100,TRUE,2.775,3.142,2001
NA,1330,TRUE,3.948,4,2001
NA,1090,FALSE,NA,2.663,2001
NA,1130,FALSE,NA,3.98,2001
23,NA,TRUE,2.317,3.449,2001
27,1180,FALSE,NA,3.648,2001
NA,1020,FALSE,NA,3.115,2001
23,NA,TRUE,3.459,4,2001
NA,1060,FALSE,NA,3.084,2001
18,NA,FALSE,NA,2.951,2001
18,NA,FALSE,NA,3.111,2001
27,NA,TRUE,3.23,3.63,2001
21,NA,TRUE,2.862,3.19,2001
23,NA,TRUE,2.604,3.239,2001
29,NA,FALSE,NA,3.678,2001
22,NA,TRUE,3.091,3.15,2001
30,NA,TRUE,3.763,3.835,2001
29,NA,TRUE,3.719,3.456,2001
25,NA,FALSE,NA,3.348,2001
22,890,TRUE,2.948,3.156,2001
21,NA,TRUE,2.483,2.625,2001
23,NA,TRUE,3.293,3.334,2001
27,NA,TRUE,3.213,3.632,2001
25,NA,TRUE,3.406,3.651,2001
24,NA,FALSE,NA,3.366,2001
NA,1060,TRUE,2.843,3.171,2001
21,NA,FALSE,NA,3.415,2001
NA,1000,TRUE,2.682,3.401,2001
25,NA,FALSE,NA,3.385,2001
26,1160,TRUE,3.575,4.063,2001
29,1260,TRUE,2.918,3.115,2001
27,NA,FALSE,NA,4.143,2001
27,NA,TRUE,3.059,3.598,2001
20,NA,TRUE,2.733,3.673,2001
21,1000,TRUE,3.374,4.032,2001
27,1270,TRUE,3.286,3.99,2001
27,1280,TRUE,3.237,3.947,2001
25,NA,TRUE,3.19,3.47,2001
24,NA,TRUE,3.027,3.01,2001
NA,1200,TRUE,2.284,3.03,2001
21,NA,TRUE,3.581,3.92,2001
25,NA,TRUE,3.257,3.573,2001
29,NA,TRUE,3.724,4,2001
21,NA,TRUE,3.628,3.589,2001
23,NA,TRUE,2.961,3.639,2001
NA,1120,TRUE,2.96,3.383,2001
20,NA,TRUE,3.49,3.781,2001
NA,1110,TRUE,3.364,3.805,2001
21,NA,FALSE,NA,3.064,2001
33,1520,TRUE,3.859,4,2001
28,NA,TRUE,3.571,3.66,2001
19,900,TRUE,3.02,2.167,2001
18,NA,TRUE,3.05,2.791,2001
25,NA,FALSE,NA,3.89,2001
20,NA,TRUE,2.436,3.1,2001
NA,840,FALSE,NA,2.636,2001
NA,1320,TRUE,3.708,4.002,2001
NA,1390,TRUE,3.555,4.34,2001
27,NA,FALSE,NA,4,2001
22,NA,FALSE,NA,3.694,2001
21,NA,FALSE,NA,3.55,2001
NA,1410,FALSE,NA,2.7,2001
28,1150,TRUE,3.846,3.87,2001
22,NA,FALSE,NA,3.157,2001
26,1250,TRUE,3.459,3.41,2001
24,NA,FALSE,NA,2.797,2001
29,NA,TRUE,3.707,3.6,2001
25,NA,TRUE,2.265,3.05,2001
26,NA,TRUE,3.665,NA,2001
25,NA,TRUE,2.815,3.456,2001
24,NA,TRUE,2.569,2.6,2001
24,NA,FALSE,NA,3.59,2001
23,NA,TRUE,3.371,3.561,2001
31,1340,TRUE,3.31,4.24,2001
NA,990,TRUE,3.558,NA,2001
NA,1410,TRUE,3.827,4,2001
NA,1040,FALSE,NA,3.56,2001
30,NA,FALSE,NA,4.143,2001
27,NA,TRUE,3.203,3.733,2001
29,1250,TRUE,3.739,3.704,2001
20,NA,TRUE,2.489,3.667,2001
29,NA,TRUE,3.578,4.086,2001
29,NA,TRUE,3.401,3.687,2001
25,NA,TRUE,3.422,3.472,2001
21,NA,TRUE,2.633,2.83,2001
NA,1290,TRUE,3.507,3.985,2001
21,NA,TRUE,3.248,3.333,2001
29,1160,FALSE,NA,4.203,2001
21,NA,FALSE,NA,2.449,2001
27,1200,FALSE,NA,3.506,2001
28,1320,TRUE,3.526,4.25,2001
18,NA,TRUE,2.593,2.875,2001
30,NA,TRUE,3.821,4.053,2001
25,NA,FALSE,NA,3.532,2001
19,NA,TRUE,2.848,3.15,2001
22,NA,TRUE,3.206,3.569,2001
NA,1190,TRUE,3.865,3.502,2001
24,NA,FALSE,NA,3.537,2001
21,960,FALSE,NA,3.484,2001
30,NA,FALSE,NA,3.569,2001
27,NA,TRUE,3.474,3.636,2001
28,NA,TRUE,3.038,3.599,2001
27,NA,TRUE,3.5,4,2001
NA,1400,TRUE,3.714,4.575,2001
NA,1020,FALSE,NA,3.478,2001
24,NA,TRUE,3.554,3.867,2001
22,NA,TRUE,2.837,3.174,2001
26,NA,FALSE,NA,2.513,2001
32,1370,TRUE,3.731,4.414,2001
29,NA,FALSE,NA,3.283,2001
19,NA,TRUE,3.019,2.478,2001
32,1280,TRUE,3.622,4.296,2001
26,NA,TRUE,3.707,3.782,2001
17,NA,TRUE,2.078,2.181,2001
NA,1170,TRUE,2.981,3.231,2001
NA,1130,FALSE,NA,3.22,2001
21,NA,TRUE,3.12,3.375,2001
25,1200,TRUE,3.453,3.92,2001
32,NA,TRUE,3.47,3.932,2001
26,NA,TRUE,3.662,3.456,2001
NA,1260,TRUE,3.584,3.71,2001
31,NA,TRUE,3.474,3.709,2001
22,NA,TRUE,2.238,2.855,2001
24,NA,TRUE,2.525,2.735,2001
24,NA,FALSE,NA,4,2001
23,NA,TRUE,3.469,3.581,2001
29,1290,TRUE,3.738,4.048,2001
21,NA,FALSE,NA,3.329,2001
NA,1040,FALSE,NA,3.957,2001
28,1370,TRUE,3.678,3.886,2001
28,NA,TRUE,3.937,3.893,2001
28,1130,TRUE,3.699,3.875,2001
32,1310,TRUE,3.508,3.963,2001
27,NA,TRUE,2.735,3.39,2001
28,NA,TRUE,3.723,3.844,2001
22,NA,TRUE,2.717,3.074,2001
31,NA,TRUE,2.972,3.521,2001
25,1330,TRUE,3.656,3.529,2001
23,NA,TRUE,3.124,3.774,2001
NA,1140,TRUE,3.361,3.527,2001
27,NA,TRUE,3.493,3.532,2001
30,NA,TRUE,3.591,3.585,2001
26,NA,TRUE,3.613,3.782,2001
24,NA,TRUE,3.291,3.615,2001
28,NA,TRUE,3.194,4,2001
24,1000,FALSE,NA,2.317,2001
NA,1350,TRUE,3.312,3.835,2001
32,1400,TRUE,2.57,3.37,2001
27,NA,TRUE,3.106,3.484,2001
25,NA,TRUE,3.454,3.69,2001
25,NA,TRUE,3.593,3.862,2001
29,NA,TRUE,3.175,3.644,2001
32,NA,TRUE,3.479,3.805,2001
NA,1120,TRUE,3.845,3.61,2001
NA,1140,FALSE,NA,2.37,2001
NA,1100,TRUE,2.79,2.83,2001
25,NA,TRUE,3.486,3.889,2001
20,NA,TRUE,2.801,2.688,2001
NA,1190,TRUE,2.887,2.896,2001
21,1130,TRUE,2.874,3.435,2001
21,NA,FALSE,NA,2.829,2001
28,NA,TRUE,2.724,3.301,2001
28,NA,TRUE,3.982,3.965,2001
23,NA,TRUE,2.979,3.5,2001
NA,1250,TRUE,2.808,NA,2001
27,NA,TRUE,2.271,2.464,2001
20,NA,TRUE,3.157,3.265,2001
25,NA,FALSE,NA,2.539,2001
NA,1030,TRUE,3.182,2.8,2001
24,1170,FALSE,NA,3.51,2001
25,NA,TRUE,3.232,3.559,2001
21,NA,FALSE,NA,2.817,2001
24,NA,TRUE,3.41,4,2001
26,NA,TRUE,3.62,4,2001
NA,1430,TRUE,2.691,3.654,2001
28,NA,TRUE,3.788,3.97,2001
22,NA,TRUE,3.105,3.245,2001
29,1300,TRUE,3.005,3.498,2001
26,NA,TRUE,2.657,4.009,2001
NA,1020,TRUE,2.858,2.836,2001
22,NA,FALSE,NA,2.413,2001
29,1200,TRUE,3.098,3.6,2001
20,NA,TRUE,2.5,1.862,2001
27,NA,TRUE,3.542,3.466,2001
28,NA,TRUE,3.361,3.882,2001
