Number,Player,GP,GS,Min,AvgMin,FG,FGA,FGPct,FG3,FG3A,FG3Pct,FT,FTA,FTPct,Off,Def,Tot,RBG,PF,FO,A,TO,Blk,Stl,Pts,PTSG
22,Brandon Gerth......,6,0,77,12.8,7,14,0.5,4,6,0.667,3,5,0.6,1,7,8,1.3,9,0,5,4,0,2,21,3.5
12,Kevin Prins........,13,0,84,6.5,3,7,0.429,2,4,0.5,2,2,1,0,10,10,0.8,6,0,7,7,0,3,10,0.8
22,Tony Zwiers........,3,0,10,3.3,1,4,0.25,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0.7
22,Stephen Cramer.....,26,14,592,22.8,117,233,0.502,37,87,0.425,37,51,0.725,14,49,63,2.4,37,0,34,48,7,16,308,11.8
10,Daane Griffeth.....,22,21,567,25.8,97,227,0.427,53,135,0.393,33,39,0.846,13,49,62,2.8,35,0,57,43,1,30,280,12.7
50,Eric Voisin........,25,25,645,25.8,79,177,0.446,19,60,0.317,60,90,0.667,51,122,173,6.9,50,0,39,34,45,12,237,9.5
42,Kyle Kleersnyder...,18,14,461,25.6,105,188,0.559,0,3,0,26,36,0.722,36,74,110,6.1,41,0,18,35,19,9,236,13.1
30,Andy Phillips......,14,12,358,25.6,67,136,0.493,6,21,0.286,42,53,0.792,26,50,76,5.4,18,0,27,28,3,23,182,13
34,Travis Spaman......,22,8,400,18.2,64,111,0.577,0,4,0,38,59,0.644,30,63,93,4.2,47,0,21,32,3,7,166,7.5
40,Scott Richardson...,25,5,339,13.6,37,80,0.463,0,0,0,26,39,0.667,25,44,69,2.8,43,0,16,26,8,15,100,4
24,Jeff Carlson.......,26,9,436,16.8,37,106,0.349,13,53,0.245,12,18,0.667,14,34,48,1.8,23,0,39,21,2,12,99,3.8
4,Jake Hogeboom......,23,17,518,22.5,31,76,0.408,18,40,0.45,8,13,0.615,7,29,36,1.6,35,0,88,41,1,19,88,3.8
52,Patrick Woolpert...,17,0,142,8.4,10,25,0.4,1,5,0.2,24,29,0.828,3,16,19,1.1,14,0,5,18,2,6,45,2.6
20,Brett Jager........,15,0,135,9,14,39,0.359,4,16,0.25,12,17,0.706,13,14,27,1.8,11,0,7,8,0,7,44,2.9
12,Jack Klunder.......,26,2,278,10.7,10,28,0.357,0,7,0,18,23,0.783,5,25,30,1.2,42,0,28,25,1,35,38,1.5
14,Greg Immink........,3,3,105,35,13,27,0.481,4,11,0.364,8,10,0.8,0,3,3,1,1,0,9,9,0,8,38,12.7
44,Peter Overbeek.....,16,0,101,6.3,12,22,0.545,0,0,0,5,8,0.625,8,8,16,1,4,0,3,7,3,1,29,1.8
32,Danny Brown........,12,0,68,5.7,8,22,0.364,5,9,0.556,4,9,0.444,6,8,14,1.2,7,0,5,12,1,6,25,2.1
54,Travis Dyke........,14,0,55,3.9,11,21,0.524,0,2,0,1,2,0.5,1,11,12,0.9,6,0,0,9,0,3,23,1.6
20,Ryan Konwinski.....,25,25,706,28.2,149,326,0.457,30,69,0.435,44,63,0.698,30,86,116,4.6,52,1,59,66,12,20,372,14.9
30,Tony Wichmann......,25,25,676,27,154,273,0.564,20,47,0.426,41,54,0.759,41,84,125,5,62,2,34,46,37,18,369,14.8
14,Kyle Konwinski.....,24,24,762,31.8,79,205,0.385,44,104,0.423,32,37,0.865,17,107,124,5.2,34,0,95,54,1,30,234,9.8
10,Tim Herman.........,22,19,591,26.9,36,98,0.367,12,44,0.273,52,62,0.839,11,35,46,2.1,56,1,79,49,0,15,136,6.2
50,Phillip Weaver.....,25,10,446,17.8,50,95,0.526,0,0,0,30,51,0.588,18,55,73,2.9,58,0,12,21,11,9,130,5.2
42,Tyler Worst........,19,6,331,17.4,32,74,0.432,21,44,0.477,15,21,0.714,8,24,32,1.7,43,1,17,19,1,10,100,5.3
54,Eli Savit..........,20,15,228,11.4,41,77,0.532,0,0,0,14,20,0.7,17,19,36,1.8,33,0,4,12,0,2,96,4.8
12,Damon Krohn........,23,0,242,10.5,27,87,0.31,21,66,0.318,16,22,0.727,5,16,21,0.9,19,0,18,24,1,6,91,4
24,Pat Clancy.........,24,0,299,12.5,27,56,0.482,9,21,0.429,6,9,0.667,7,34,41,1.7,38,0,30,23,2,8,69,2.9
34,Roger Garfield.....,25,0,302,12.1,27,58,0.466,5,17,0.294,6,13,0.462,12,45,57,2.3,30,0,25,25,1,4,65,2.6
52,Adam Bezemek.......,18,0,126,7,15,28,0.536,0,0,0,9,11,0.818,6,14,20,1.1,25,0,6,12,1,2,39,2.2
44,Brad Brinkman......,18,0,73,4.1,8,16,0.5,0,0,0,10,12,0.833,9,8,17,0.9,11,0,1,6,1,4,26,1.4
40,Mat Kellogg........,15,0,79,5.3,9,17,0.529,0,0,0,5,10,0.5,7,9,16,1.1,10,0,3,3,4,1,23,1.5
22,Thomas Greer.......,11,0,53,4.8,7,16,0.438,6,13,0.462,1,2,0.5,0,6,6,0.5,4,0,1,5,0,2,21,1.9
32,Robert Boyle.......,7,1,50,7.1,3,6,0.5,0,0,0,8,10,0.8,1,4,5,0.7,11,0,5,6,1,2,14,2
11,Matt Wagner........,8,0,40,5,3,6,0.5,0,1,0,4,5,0.8,2,3,5,0.6,5,0,0,3,0,0,10,1.2
32,Levent Sipahi......,4,0,24,6,0,7,0,0,0,0,1,2,0.5,1,4,5,1.2,4,0,1,3,0,1,1,0.2
23,De'Andre Pruitt....,26,26,766,29.5,116,253,0.458,31,120,0.258,52,71,0.732,47,106,153,5.9,42,0,32,54,34,29,315,12.1
33,Ronnie Pearson.....,26,23,702,27,99,182,0.544,3,16,0.188,43,63,0.683,44,63,107,4.1,75,3,52,54,16,54,244,9.4
22,Greg Ravy..........,22,16,485,22,68,172,0.395,10,46,0.217,38,60,0.633,22,51,73,3.3,44,1,17,28,14,8,184,8.4
42,Will Lee...........,17,5,402,23.6,54,137,0.394,23,72,0.319,31,45,0.689,12,28,40,2.4,33,0,29,29,0,12,162,9.5
20,Jeremy File........,16,10,407,25.4,50,106,0.472,28,60,0.467,32,45,0.711,8,44,52,3.2,28,0,35,36,0,20,160,10
5,Derek Kurtz........,23,14,449,19.5,35,99,0.354,15,55,0.273,59,82,0.72,19,33,52,2.3,41,0,24,34,1,16,144,6.3
32,Steve Johnson......,24,4,296,12.3,53,118,0.449,2,3,0.667,25,56,0.446,24,52,76,3.2,40,1,4,25,7,13,133,5.5
52,Gerald Dozie.......,11,7,243,22.1,51,84,0.607,3,4,0.75,18,33,0.545,25,48,73,6.6,33,3,12,20,7,5,123,11.2
2,McKinsey Golfin....,26,4,303,11.7,43,90,0.478,4,16,0.25,31,42,0.738,12,31,43,1.7,21,0,28,42,0,20,121,4.7
3,De'Andre Clement...,26,13,427,16.4,31,101,0.307,14,62,0.226,7,17,0.412,5,37,42,1.6,59,4,50,45,1,24,83,3.2
25,Robert Banks.......,25,2,221,8.8,22,41,0.537,0,1,0,12,21,0.571,8,25,33,1.3,21,0,9,20,6,7,56,2.2
10,Antonio Higginbotha,23,0,208,9,16,49,0.327,7,17,0.412,15,23,0.652,7,7,14,0.6,32,1,17,24,0,6,54,2.3
24,Cody Garner........,12,3,93,7.8,13,34,0.382,5,13,0.385,8,16,0.5,5,10,15,1.2,19,0,4,11,3,4,39,3.2
52,Jeff Cooper........,7,0,49,7,7,15,0.467,5,12,0.417,7,10,0.7,0,4,4,0.6,2,0,3,4,1,4,26,3.7
20,Jerame File........,1,1,29,29,8,10,0.8,0,2,0,7,9,0.778,0,3,3,3,2,0,4,5,0,3,23,23
4,Dan Bonnell........,7,0,79,11.3,3,18,0.167,3,15,0.2,1,2,0.5,1,3,4,0.6,2,0,3,5,0,1,10,1.4
51,Andy Storey........,9,2,52,5.8,3,7,0.429,0,0,0,0,3,0,5,2,7,0.8,11,0,4,5,3,1,6,0.7
44,Harold Martin......,8,0,53,6.6,1,3,0.333,0,0,0,1,2,0.5,1,4,5,0.6,9,1,2,7,0,2,3,0.4
4,Adam Alberson......,5,0,10,2,0,1,0,0,1,0,1,4,0.25,1,0,1,0.2,1,0,0,0,0,1,1,0.2
51,John Zenner........,2,0,3,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Shamar Griffin.....,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Brandon O'Leary....,26,14,536,20.6,130,258,0.504,4,18,0.222,92,153,0.601,63,82,145,5.6,34,0,41,43,5,29,356,13.7
34,Mo Brookins........,26,12,470,18.1,121,281,0.431,85,225,0.378,28,30,0.933,19,26,45,1.7,35,0,83,60,5,51,355,13.7
10,Micah Williams.....,26,15,755,29,113,283,0.399,46,158,0.291,64,84,0.762,30,48,78,3,55,2,69,52,2,43,336,12.9
1,Britain Flowers....,19,7,301,15.8,79,211,0.374,47,156,0.301,48,53,0.906,9,34,43,2.3,39,1,29,41,2,29,253,13.3
3,Brandon Appleton...,26,11,411,15.8,51,137,0.372,26,82,0.317,22,41,0.537,24,28,52,2,51,1,78,58,1,40,150,5.8
23,Aaron Rehrer.......,25,10,373,14.9,45,153,0.294,39,140,0.279,21,31,0.677,19,20,39,1.6,18,0,24,23,2,12,150,6
30,David Hutter.......,25,16,476,19,61,111,0.55,2,7,0.286,18,30,0.6,50,69,119,4.8,40,0,17,22,9,37,142,5.7
12,Zach Lear..........,22,2,198,9,48,125,0.384,38,101,0.376,5,12,0.417,8,11,19,0.9,32,0,16,24,0,16,139,6.3
14,Adam Harkiewicz....,16,5,211,13.2,32,127,0.252,31,122,0.254,8,8,1,14,9,23,1.4,19,0,8,7,0,5,103,6.4
5,John Moore.........,26,5,330,12.7,35,111,0.315,14,54,0.259,18,32,0.562,20,35,55,2.1,42,0,52,36,2,28,102,3.9
22,Justin Guy.........,18,10,255,14.2,24,76,0.316,12,47,0.255,16,17,0.941,15,16,31,1.7,26,1,25,14,1,16,76,4.2
42,Thad Richardson....,18,4,239,13.3,30,66,0.455,0,2,0,8,16,0.5,20,31,51,2.8,28,0,8,10,24,7,68,3.8
33,Greg Ripple........,26,10,347,13.3,20,42,0.476,1,7,0.143,21,28,0.75,31,34,65,2.5,46,0,17,33,3,23,62,2.4
25,Andre Patrick......,19,1,169,8.9,22,73,0.301,6,31,0.194,7,20,0.35,9,19,28,1.5,17,0,7,23,1,13,57,3
52,Eric Koncz.........,21,0,121,5.8,14,37,0.378,5,23,0.217,5,5,1,8,21,29,1.4,16,0,4,4,1,4,38,1.8
40,Jeigh Krupp........,6,1,48,8,7,10,0.7,1,1,1,1,2,0.5,6,6,12,2,7,0,0,1,0,1,16,2.7
25,Ryan Kinzie........,5,1,29,5.8,2,4,0.5,1,2,0.5,1,2,0.5,1,3,4,0.8,2,0,1,0,0,1,6,1.2
40,Mike Cowper........,9,1,49,5.4,2,8,0.25,0,1,0,0,2,0,7,9,16,1.8,11,0,1,3,1,6,4,0.4
44,Steve Tolsma.......,7,0,25,3.6,0,1,0,0,0,0,0,0,0,2,2,4,0.6,3,0,1,1,0,2,0,0
24,John Taylor........,4,0,20,5,0,1,0,0,0,0,0,0,0,1,0,1,0.2,5,0,3,1,0,1,0,0
14,Jeremiah Kanous....,4,0,18,4.5,0,1,0,0,0,0,0,0,0,2,1,3,0.8,3,0,1,2,0,0,0,0
